,ell,TT,TE,EE,BB,KK
249,249,5.529126e-13,6.2353251999999996e-15,2.3342416e-16,2.254873e-18,7.167477600000001e-20
250,250,5.4676574e-13,6.3489377e-15,2.3958519e-16,2.2544075e-18,7.136532999999999e-20
251,251,5.406461399999999e-13,6.4595635000000005e-15,2.4586104e-16,2.2538689999999997e-18,7.1058025e-20
252,252,5.345544e-13,6.567196e-15,2.5225052e-16,2.2532580000000003e-18,7.075285e-20
253,253,5.284905e-13,6.6718159999999995e-15,2.587503e-16,2.2525737e-18,7.0449794e-20
254,254,5.224556e-13,6.7733973e-15,2.6535857e-16,2.251817e-18,7.0148836e-20
255,255,5.164481e-13,6.871937e-15,2.7207137e-16,2.2509878e-18,6.984994599999999e-20
256,256,5.104693e-13,6.967419e-15,2.7888702e-16,2.2500858e-18,6.955309e-20
257,257,5.0451976e-13,7.0598484e-15,2.8580244000000003e-16,2.2491115e-18,6.925825e-20
258,258,4.986007e-13,7.1491892e-15,2.9281392999999995e-16,2.2480649999999998e-18,6.8965406e-20
259,259,4.927125e-13,7.235547e-15,2.9991998e-16,2.2469465e-18,6.8674545e-20
260,260,4.8685703e-13,7.3187747e-15,3.0711704e-16,2.245756e-18,6.8385646e-20
261,261,4.81034e-13,7.3990053e-15,3.144023e-16,2.2444937999999997e-18,6.809868600000001e-20
262,262,4.7524518e-13,7.476164e-15,3.2177308e-16,2.2431602e-18,6.781364e-20
263,263,4.694909e-13,7.550314e-15,3.2922677999999997e-16,2.2417553e-18,6.753049e-20
264,264,4.6377143e-13,7.621383e-15,3.3676007e-16,2.2402796e-18,6.7249246e-20
265,265,4.5808652e-13,7.6894998e-15,3.4436918e-16,2.2387333e-18,6.696989e-20
