L,TT,TE,EE,BB,PP
136,1.3180795454938885e-12,-1.4597682068648938e-14,3.7745648960530865e-16,2.0318645040913877e-18,2.748701353362457e-23
137,1.3104525801491084e-12,-1.4496457729030503e-14,3.7257434424626146e-16,2.0336503329842097e-18,2.6928264621244485e-23
138,1.30288473808698e-12,-1.4390400731216655e-14,3.676197321499698e-16,2.035474271767845e-18,2.6384006366525977e-23
139,1.2953274054934367e-12,-1.4279555672935474e-14,3.626489246309336e-16,2.0373309077765513e-18,2.5853790017412766e-23
140,1.2878779245514025e-12,-1.4164349515887257e-14,3.575877255064759e-16,2.0392246611929202e-18,2.5337119814622095e-23
141,1.280439858636475e-12,-1.4044309357875952e-14,3.5246654886948833e-16,2.0411565454376956e-18,2.4833645038713705e-23
142,1.273083003476526e-12,-1.3919950547692036e-14,3.4731416074282117e-16,2.0431213068006757e-18,2.4342902815682463e-23
143,1.2657878349092232e-12,-1.3791457493162886e-14,3.4213640506446185e-16,2.0451231150484327e-18,2.3864539835350505e-23
144,1.2585027582225318e-12,-1.3658826358573001e-14,3.369057202138502e-16,2.0471598726198244e-18,2.3398124687305222e-23
145,1.2512531700106818e-12,-1.3522055861837599e-14,3.3167620427394104e-16,2.0492325438555246e-18,2.2943331622010626e-23
146,1.244109920475419e-12,-1.338135203538827e-14,3.263790097780305e-16,2.0513420210739414e-18,2.2499816661570848e-23
147,1.2369378488139867e-12,-1.3236507734545765e-14,3.210876352578228e-16,2.0534862405269523e-18,2.206724801107458e-23
148,1.2298027429056173e-12,-1.3088155361912136e-14,3.1575769949526066e-16,2.0556660785017614e-18,2.164524856774074e-23
149,1.2227303509258982e-12,-1.2936052434446025e-14,3.104146555920159e-16,2.0578823458967083e-18,2.1233539801780976e-23
150,1.2156534942269677e-12,-1.2779776992143423e-14,3.0507985453761115e-16,2.060130243711393e-18,2.0831824600039593e-23
151,1.2086179984029628e-12,-1.2620327386058594e-14,2.9973520497926113e-16,2.062413419076414e-18,2.0439761355961706e-23
152,1.201583541052189e-12,-1.2457517184695315e-14,2.9436355726399103e-16,2.0647272068573597e-18,2.0057129238057932e-23
153,1.1945892065307929e-12,-1.2290877925247585e-14,2.8900199085429716e-16,2.06707516627909e-18,1.968363397110146e-23
154,1.1876167841256717e-12,-1.2121177848961902e-14,2.8365673023556206e-16,2.0694580252230584e-18,1.9318991727019447e-23
155,1.1806671666300024e-12,-1.1948394133898689e-14,2.783284786754808e-16,2.0718686617695643e-18,1.8962954683658408e-23
156,1.1737001441585168e-12,-1.1772686198903014e-14,2.7301533021421927e-16,2.074310561412504e-18,1.8615308963185591e-23
157,1.1667965794314213e-12,-1.1593801613956953e-14,2.6771800009769663e-16,2.076781953868232e-18,1.827577136633623e-23
158,1.1598957161283358e-12,-1.1412077292581638e-14,2.6245716892158725e-16,2.0792811429905653e-18,1.7944143966657745e-23
159,1.1530015509506332e-12,-1.1227686612709221e-14,2.5719567026275686e-16,2.081806503528929e-18,1.7620185513322678e-23
160,1.1461325154957886e-12,-1.1040381008873627e-14,2.5197134121618014e-16,2.084361356291241e-18,1.7303711840742483e-23
161,1.139289264992649e-12,-1.0850696301070226e-14,2.4680328760085447e-16,2.086939210005449e-18,1.699447207917747e-23
162,1.1324533754623875e-12,-1.065869123985145e-14,2.416525537478393e-16,2.0895410169479762e-18,1.669229565372267e-23
163,1.125663720544114e-12,-1.0464211238636365e-14,2.36538469464808e-16,2.092165322181684e-18,1.639699355853691e-23
164,1.1188458324322372e-12,-1.0267690721379998e-14,2.3147872309229683e-16,2.0948107306895686e-18,1.6108359599940856e-23
165,1.112073332018922e-12,-1.0068718430860064e-14,2.264548073176233e-16,2.0974759048274932e-18,1.5826217449250575e-23
166,1.1053120667677288e-12,-9.867787628232521e-15,2.2150007408611064e-16,2.1001595618951286e-18,1.555037367325587e-23
167,1.0985787603862973e-12,-9.66514518311739e-15,2.165638576513525e-16,2.1028627113347572e-18,1.528068606351612e-23
168,1.0918229498015837e-12,-9.460429593376684e-15,2.117284291471865e-16,2.1055774549422157e-18,1.5016994351190482e-23
169,1.0850818271037225e-12,-9.253712609315295e-15,2.0692652771339898e-16,2.1083093799147333e-18,1.4759099498639532e-23
170,1.0783541099179576e-12,-9.045452532007763e-15,2.0220595803170413e-16,2.1110508388834346e-18,1.4506895760777782e-23
171,1.071608661799461e-12,-8.835232656396215e-15,1.97565289781198e-16,2.1138052144906497e-18,1.4260194495159395e-23
172,1.0648622352551948e-12,-8.6235007969989e-15,1.9298665574376515e-16,2.116573617541874e-18,1.4018876834651782e-23
173,1.058103684752512e-12,-8.41035099269773e-15,1.8846905052712727e-16,2.119338316937344e-18,1.3782764564798336e-23
174,1.0513615800799764e-12,-8.195832310440967e-15,1.8407277452329934e-16,2.122107147935206e-18,1.355176803420929e-23
175,1.0446223972184279e-12,-7.979910539497923e-15,1.7973377970423943e-16,2.1248998310598706e-18,1.3325738438626875e-23
176,1.037857081513255e-12,-7.762674559354549e-15,1.7549615063060872e-16,2.1276746855880024e-18,1.3104531728785747e-23
177,1.0310977114883325e-12,-7.544469045999407e-15,1.713423396812947e-16,2.1304517234665803e-18,1.2888048323382237e-23
178,1.0243315578402955e-12,-7.325111045959765e-15,1.6731470529932626e-16,2.1332500689685707e-18,1.2676132115268597e-23
179,1.0175581553294896e-12,-7.1046796096322474e-15,1.6335150747308092e-16,2.1360294929295964e-18,1.2468690678903983e-23
180,1.0108098469682784e-12,-6.883520713647338e-15,1.5949493693937662e-16,2.1387901072339793e-18,1.2265614706239267e-23
181,1.004045077520217e-12,-6.661717562677996e-15,1.557418188933031e-16,2.141570172697845e-18,1.2066778990441516e-23
182,9.97276921400589e-13,-6.4390481457309505e-15,1.521036049713447e-16,2.144330824209398e-18,1.1872062225343867e-23
183,9.904954984734847e-13,-6.215860133182485e-15,1.4856359528791617e-16,2.147072199453566e-18,1.1681402847733195e-23
184,9.83730119352542e-13,-5.9920803850893125e-15,1.451330898048928e-16,2.1498128952464726e-18,1.1494648213344303e-23
185,9.76965015169266e-13,-5.768168621364416e-15,1.4183619784575938e-16,2.1525524554980106e-18,1.1311742127127816e-23
186,9.701381184918462e-13,-5.543643810742851e-15,1.3864375320995022e-16,2.155272379390479e-18,1.1132557193045107e-23
187,9.633687259482606e-13,-5.318813945278052e-15,1.355783638098731e-16,2.157972826061247e-18,1.0957023739414353e-23
188,9.565925053873925e-13,-5.093991870537046e-15,1.32634059583826e-16,2.1606539545433753e-18,1.0785038420550653e-23
189,9.497985555660049e-13,-4.868969947563609e-15,1.2981382790079009e-16,2.163315923682475e-18,1.061651851899079e-23
190,9.430647345776637e-13,-4.644189843087967e-15,1.271236074527716e-16,2.1659588920588764e-18,1.0451366294796933e-23
191,9.362634873102657e-13,-4.4191496791947396e-15,1.2456356617693052e-16,2.1685830179148127e-18,1.0289521213492603e-23
192,9.294861710165941e-13,-4.194283922509637e-15,1.2213382294721693e-16,2.1711884590863527e-18,1.0130890247395529e-23
193,9.22696216994348e-13,-3.9698917390475065e-15,1.1983830967028816e-16,2.173758591824194e-18,9.975399926207059e-24
194,9.159316288116324e-13,-3.7455956059580005e-15,1.1767843035192954e-16,2.176310698309161e-18,9.822962165248161e-24
195,9.091548849894104e-13,-3.5218059183319424e-15,1.1565631152325551e-16,2.178828487368796e-18,9.673524368103063e-24
196,9.023706614384693e-13,-3.298444469543134e-15,1.1377427665835995e-16,2.181328880249965e-18,9.526986307693639e-24
197,8.956027787875654e-13,-3.075742113837575e-15,1.120356405500083e-16,2.1837959085636478e-18,9.383315316610327e-24
198,8.88839020335199e-13,-2.8536173136010712e-15,1.1044003387046291e-16,2.186230197525542e-18,9.242399425775692e-24
199,8.82081861329006e-13,-2.632212610571058e-15,1.089892689949756e-16,2.1886323574023847e-18,9.104209214921167e-24
200,8.753321142867799e-13,-2.4116334411489766e-15,1.0768379308397205e-16,2.191002983944631e-18,8.968668722873571e-24
201,8.685781775460641e-13,-2.191779677384775e-15,1.0652894480061726e-16,2.1933426588044708e-18,8.835704191243006e-24
202,8.618318883835574e-13,-1.9729073154704897e-15,1.0552153569609659e-16,2.195651949939762e-18,8.705274638159927e-24
203,8.550848969912758e-13,-1.7549131376290129e-15,1.0466650007177944e-16,2.19791623962609e-18,8.577294425313158e-24
204,8.483261723419508e-13,-1.538223524915496e-15,1.0396297835274767e-16,2.200151538015474e-18,8.451740626397838e-24
205,8.415793325187131e-13,-1.3225160287651378e-15,1.0341337431473107e-16,2.2023434893188177e-18,8.328545873988218e-24
206,8.348228819281751e-13,-1.107985696651242e-15,1.0301863006991097e-16,2.204493035452728e-18,8.207644721406884e-24
207,8.28078468274604e-13,-8.946928409293172e-16,1.0277800336154633e-16,2.2066010941873795e-18,8.089002767781914e-24
208,8.213163263687218e-13,-6.827052577891447e-16,1.0269449548312814e-16,2.2086830132759966e-18,7.972557389081451e-24
209,8.145579267881844e-13,-4.720735066131068e-16,1.0276679968651911e-16,2.2107106198706027e-18,7.858262045017651e-24
210,8.078054967813462e-13,-2.6291394064307704e-16,1.0299815383745558e-16,2.2126993565520747e-18,7.74607136498862e-24
211,8.010583692880289e-13,-5.522424331989222e-17,1.0338797978449766e-16,2.2146360051575694e-18,7.635941113713041e-24
212,7.942978119989011e-13,1.508779857412977e-16,1.0393623539991647e-16,2.2165356831054426e-18,7.527828158023803e-24
213,7.875540367291206e-13,3.5541446545080894e-16,1.0464449253404e-16,2.218385387677036e-18,7.421662866063743e-24
214,7.808083381817494e-13,5.582339071253128e-16,1.0550712204176574e-16,2.2201999218777436e-18,7.317432295310961e-24
215,7.740724648172587e-13,7.592588136699052e-16,1.0654612717955678e-16,2.2219529643141456e-18,7.215082890271567e-24
216,7.673362844870246e-13,9.585785254515183e-16,1.0773145345334308e-16,2.2236593879306863e-18,7.114575979513997e-24
217,7.606192547831619e-13,1.1559475093807918e-15,1.0907992746289295e-16,2.2253202534691084e-18,7.015860551545939e-24
218,7.539045886831909e-13,1.351420481867209e-15,1.1058666722658362e-16,2.2269365946402853e-18,6.918913316612181e-24
219,7.471995787497527e-13,1.5451575922288627e-15,1.1224757970811214e-16,2.2284963778471756e-18,6.823685303529451e-24
220,7.405086683686145e-13,1.736586092952459e-15,1.1407716093028223e-16,2.230000939133915e-18,6.730141800462418e-24
221,7.338284544680308e-13,1.926039238286182e-15,1.1606142838999386e-16,2.2314643868551884e-18,6.638248925950843e-24
222,7.271619985245165e-13,2.113369291449539e-15,1.1821465528008056e-16,2.232862261326111e-18,6.547960913931052e-24
223,7.20490866748449e-13,2.2986732569890052e-15,1.2052289529508856e-16,2.234208721636476e-18,6.459270971647889e-24
